"","SubjectNo","DisplayMode","Familiarity","seg.z","headingErr"
"384","D_S12","Intermittent","Familiar",5.065,4.15642136175547
"385","D_S12","Intermittent","Familiar",5.12,4.4784797189521
"386","D_S12","Intermittent","Familiar",5.175,4.7544002124921
"387","D_S12","Intermittent","Familiar",5.23,4.98796546240892
"388","D_S12","Intermittent","Familiar",5.285,5.17508420686114
"389","D_S12","Intermittent","Familiar",5.34,5.32354404143905
"390","D_S12","Intermittent","Familiar",5.395,5.44920138510473
"391","D_S12","Intermittent","Familiar",5.45,5.56426595212747
"392","D_S12","Intermittent","Familiar",5.505,5.66545312997098
"393","D_S12","Intermittent","Familiar",5.56,5.73574205043382
"394","D_S12","Intermittent","Familiar",5.615,5.76571813102331
"395","D_S12","Intermittent","Familiar",5.67,5.74878419253764
"396","D_S12","Intermittent","Familiar",5.725,5.67696466421704
"397","D_S12","Intermittent","Familiar",5.78,5.56942297654135
"398","D_S12","Intermittent","Familiar",5.835,5.43945278622974
"399","D_S12","Intermittent","Familiar",5.89,5.29049618543241
"400","D_S12","Intermittent","Familiar",5.945,5.16256759938583
"401","D_S128","Intermittent","Familiar",0.5,2.99545692186159
"402","D_S128","Intermittent","Familiar",0.555,3.20141652280403
"403","D_S128","Intermittent","Familiar",0.61,3.40151283014198
"404","D_S128","Intermittent","Familiar",0.665,3.59187835463825
"405","D_S128","Intermittent","Familiar",0.72,3.77584851931855
"406","D_S128","Intermittent","Familiar",0.775,3.95428871047028
"407","D_S128","Intermittent","Familiar",0.83,4.13006116044695
"408","D_S128","Intermittent","Familiar",0.885,4.30073614777836
"409","D_S128","Intermittent","Familiar",0.94,4.46230514474349
"410","D_S128","Intermittent","Familiar",0.995,4.61403363686501
"411","D_S128","Intermittent","Familiar",1.05,4.7658687398808
"412","D_S128","Intermittent","Familiar",1.105,4.90475699056848
"413","D_S128","Intermittent","Familiar",1.16,5.02539116895888
"414","D_S128","Intermittent","Familiar",1.215,5.12912864388419
"415","D_S128","Intermittent","Familiar",1.27,5.21101623452629
"416","D_S128","Intermittent","Familiar",1.325,5.28211429220553
"417","D_S128","Intermittent","Familiar",1.38,5.35455300750272
"418","D_S128","Intermittent","Familiar",1.435,5.44040577586683
"419","D_S128","Intermittent","Familiar",1.49,5.53814125759743
"420","D_S128","Intermittent","Familiar",1.545,5.64278816270405
"421","D_S128","Intermittent","Familiar",1.6,5.75023658213896
"422","D_S128","Intermittent","Familiar",1.655,5.85132373433756
"423","D_S128","Intermittent","Familiar",1.71,5.93729580370913
"424","D_S128","Intermittent","Familiar",1.765,6.00274378423636
"425","D_S128","Intermittent","Familiar",1.82,6.05412847163508
"426","D_S128","Intermittent","Familiar",1.875,6.09753531690816
"427","D_S128","Intermittent","Familiar",1.93,6.12539200599968
"428","D_S128","Intermittent","Familiar",1.985,6.16277563899482
"429","D_S128","Intermittent","Familiar",2.04,6.2370181429445
"430","D_S128","Intermittent","Familiar",2.095,6.33071536740908
"431","D_S128","Intermittent","Familiar",2.15,6.43491736625104
"432","D_S128","Intermittent","Familiar",2.205,6.55450997947357
